Product Description,Image URL,Price,Product URL
Amish-Made 21 inch Genuine Copper Gazebo Bird Feeder,https://m.media-amazon.com/images/I/71s34QcBGvL._AC_SY606_.jpg,189.95,http://adfoc.us/857878103217653
Small White Bird Feeder with Arches and Copper Roof Amish Made in USA,https://m.media-amazon.com/images/I/61BRNotlYyL._AC_SY606_.jpg,179,http://adfoc.us/857878103246395
10-Hole Birdhouse with Low Copper Roof Amish Crafted in The USA,https://m.media-amazon.com/images/I/716QkiPjFlL._AC_SY679_.jpg,229,http://adfoc.us/857878103246396
Amish Double Bluebird Birdhouse with Copper Roof Handcrafted in The USA,https://m.media-amazon.com/images/I/71qWcC5xS7L._AC_SY606_.jpg,179,http://adfoc.us/857878103246397
Amish 30 inch Bird Feeder with Double Copper Roof Handcrafted in The USA,https://m.media-amazon.com/images/I/41LEt7cROaL._AC_.jpg,289.95,http://adfoc.us/857878103246398
Copper Patina Roof Vinyl One Apartment Bird House 24 inches tall Amish Made in USA,https://m.media-amazon.com/images/I/41b8R9VJRkL._AC_.jpg,189.95,http://adfoc.us/857878103246399
Large Bird Feeder with Copper Roof Natural Finish Amish Made in USA,https://m.media-amazon.com/images/I/51GXdDe5jSL._AC_SY606_.jpg,269,http://adfoc.us/857878103246400
Cedar 10 Hole Round Birdhouse with Low Copper Roof Amish Made in USA,https://m.media-amazon.com/images/I/41xuUL5RA3L._AC_.jpg,249,http://adfoc.us/857878103246401
Large Birdhouse with Bell-shaped Copper Roof - Amish-made,https://m.media-amazon.com/images/I/310+b31zJXL._AC_.jpg,559,http://adfoc.us/857878103246402
Recycled Plastic Amish Bluebird House Handcrafted in The USA from Easy to Clean Eco-Friendly Materials (Cherry & Weatherwood),https://m.media-amazon.com/images/I/917W-Ux3V2L._AC_SY741_.jpg,45.95,http://adfoc.us/857878103246403
Country Hanging Bird House Amish Made Gazebo Style 1 Nesting Compartment,https://m.media-amazon.com/images/I/91K9c8R8f6L._SL1500_.jpg,109.99,http://adfoc.us/857878103246404
